,course_title,course_organization,course_URL,course_rating,course_difficulty,course_duration,course_review_count,course_skills
465,Introduction to Google Workspace Administration,Google Cloud,/learn/introduction-google-workspace,4.7,Beginner,1 - 4 Weeks,2200,"Account Management, Google Cloud Platform, Leadership and Management, Cloud Management, Database Administration, Organizational Development, Cloud Applications, Operations Management, Other Cloud Platforms and Tools, User Experience, Accounting"
466,Getting Started with SAS Programming,SAS,/learn/sas-programming-basics,4.8,Beginner,1 - 3 Months,2900,"Computer Programming, Data Analysis, Databases, SAS (Software), Data Analysis Software, Data Management, SQL, Statistical Analysis, Statistical Programming, Programming Principles"
467,Water Cooperation and Diplomacy,University of Geneva,/learn/water-cooperation-and-diplomacy,,Intermediate,1 - 3 Months,0,Negotiation
468,Foundations for Assisting in Home Care,The State University of New York,/learn/home-care,4.8,Mixed,3 - 6 Months,354,
469,Giving Helpful Feedback,University of Colorado Boulder,/learn/feedback,4.8,Beginner,1 - 3 Months,1700,"Business Psychology, Entrepreneurship, Human Resources, Leadership and Management, People Development, Collaboration, Communication, People Management"
470,Medical Terminology I,Rice University,/learn/medical-terminology-1,4.9,Beginner,1 - 3 Months,322,
471,Learn to Speak Korean 1,Yonsei University,/learn/learn-speak-korean1,4.9,Beginner,1 - 3 Months,10500,"Culture, Writing"
472,The Social Context of Mental Health and Illness,University of Toronto,/learn/mental-health,4.7,Mixed,1 - 3 Months,507,
473,Cost and Economics in Pricing Strategy,University of Virginia,/learn/uva-darden-bcg-pricing-strategy-cost-economics,4.8,Beginner,1 - 4 Weeks,649,"Entrepreneurship, Leadership and Management, Marketing, Sales, Strategy, Strategy and Operations, Business Analysis, Design and Product, Product Management, Product Strategy"
474,Cybersecurity Compliance Framework & System Administration,IBM,/learn/cybersecurity-compliance-framework-system-administration,4.7,Beginner,1 - 3 Months,3100,"Cryptography, Linux, System Software"
475,Leadership in 21st Century Organizations,Copenhagen Business School,/learn/leadership-21st-century,4.7,Mixed,3 - 6 Months,1000,"Leadership and Management, Strategy, Leadership Development, Communication, Critical Thinking, Strategy and Operations, Business Transformation, Decision Making, Organizational Development, Problem Solving, Collaboration"
476,Probabilistic Graphical Models 1: Representation,Stanford University,/learn/probabilistic-graphical-models,4.6,Advanced,1 - 3 Months,1400,"Bayesian Network, Probability & Statistics, Probability Distribution, General Statistics, Graph Theory, Bayesian Statistics, Correlation And Dependence, Markov Model, Network Model, Decision Making"
477,Understanding child development: from synapse to society,Utrecht University,/learn/child-development,4.6,Beginner,1 - 3 Months,258,
478,Country Level Economics: Macroeconomic Variables and Markets,University of Illinois at Urbana-Champaign,/learn/country-level-economics,4.4,Intermediate,1 - 3 Months,934,"Finance, Financial Analysis, Accounting, Behavioral Economics, Business Analysis, Decision Making, Econometrics, General Statistics, Market Analysis, Financial Accounting"
479,Fundamentals of Social Media Advertising,Meta,/learn/social-media-advertising-fundamentals,4.8,Beginner,1 - 3 Months,2100,"Advertising, Communication, Digital Marketing, Marketing, Sales, Marketing Design, Research and Design, Social Media, Brand Management"
480,ESG and Climate Change,University of Pennsylvania,/learn/esg-and-climate-change,4.8,Mixed,1 - 4 Weeks,260,"Regulations and Compliance, Risk Management, Supply Chain and Logistics, Business Analysis, Innovation, Leadership and Management, Resilience, Supplier Relationship Management"
481,Introduction to Git and GitHub,Google,/learn/introduction-git-github,4.8,Beginner,1 - 4 Weeks,7000,"Collaboration, Computer Programming, Python Programming"
482,Introduction to Microsoft Dynamics 365,Microsoft,/learn/introduction-to-microsoft-dynamics-365,4.8,Beginner,1 - 3 Months,6,Marketing
483,The Nuts and Bolts of Machine Learning,Google,/learn/the-nuts-and-bolts-of-machine-learning,4.8,Advanced,1 - 3 Months,141,"Machine Learning, Python Programming"
484,"Python Functions, Files, and Dictionaries",University of Michigan,/learn/python-functions-files-dictionaries,4.9,Beginner,1 - 3 Months,5100,"Python Programming, Computer Programming"
485,Business Writing,University of Colorado Boulder,/learn/writing-for-business,4.8,Beginner,1 - 4 Weeks,4500,"Communication, Writing, Business Communication, Critical Thinking, Professional Development, Natural Language Processing, Business Development, Decision Making, Process Analysis, Visual Design"
486,"Custom Models, Layers, and Loss Functions with TensorFlow",DeepLearning.AI,/learn/custom-models-layers-loss-functions-with-tensorflow,4.9,Intermediate,1 - 3 Months,936,"Applied Machine Learning, Deep Learning, Machine Learning, Python Programming, Tensorflow, Artificial Neural Networks, Network Architecture, Network Model, Computer Programming, Machine Learning Algorithms"
487,Data Modeling in Power BI,Microsoft,/learn/data-modeling-in-power-bi,4.3,Beginner,1 - 4 Weeks,55,"Data Analysis, Data Model, Power BI"
488,Aspectos básicos de la asistencia técnica,Google,/learn/asistencia-tecnica,4.9,Beginner,1 - 3 Months,10700,"Communication, Human Computer Interaction, Problem Solving, System Software, Adaptability, Computer Architecture, Operating Systems, Theoretical Computer Science, Computational Logic, Customer Support, Linux"
489,Design and Conduct of Clinical Trials,Johns Hopkins University,/learn/design-and-conduct-clinical-trials,4.8,Beginner,1 - 3 Months,126,Recruitment
490,Hot Topics in Criminal Justice,Vanderbilt University,/learn/hot-topics-criminal-justice,4.6,Beginner,1 - 3 Months,157,
491,1. 基礎知識：データはあらゆるところにある,Google,/learn/foundations-data-japanese,4.7,Beginner,1 - 3 Months,174,"Data Analysis, Business Analysis, Data Visualization, Decision Making, Problem Solving, Process Analysis, Exploratory Data Analysis, SQL, Spreadsheet Software, Visualization (Computer Graphics)"
492,"Everyday Excel, Part 1",University of Colorado Boulder,/learn/everyday-excel-part-1,4.7,Beginner,1 - 3 Months,3200,"Business Analysis, Data Analysis, Data Analysis Software, Microsoft Excel, Spreadsheet Software, Critical Thinking, Problem Solving, Data Management, Mathematics, Data Visualization"
493,Bases de la gestion de projet,Google,/learn/bases-de-la-gestion-de-projet,4.5,Beginner,1 - 4 Weeks,104,"Leadership and Management, Organizational Development, Planning, Adaptability, Collaboration, Project Management, Culture"
494,Introduction to Risk Management,New York Institute of Finance,/learn/introduction-to-risk-management,4.7,Beginner,1 - 3 Months,345,"Leadership and Management, Risk Management, Finance, Financial Analysis, Financial Management, Market Analysis, Operating Systems, Decision Making, Operational Analysis, Strategy"
495,Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,McMaster University,/learn/mindshift,4.8,Beginner,1 - 4 Weeks,12500,"Business Psychology, Human Learning"
496,Negociación exitosa: Estrategias y habilidades esenciales (en español),University of Michigan,/learn/negociacion,4.8,Mixed,1 - 3 Months,2500,"Communication, Negotiation, Planning, Strategy"
497,Algorithmic Toolbox,University of California San Diego,/learn/algorithmic-toolbox,4.6,Intermediate,1 - 3 Months,12300,"Algorithms, Computer Programming, Problem Solving, Theoretical Computer Science, Computational Thinking, Critical Thinking, Computer Programming Tools, Computational Logic, Data Structures, Mathematics, Software Testing"
498,Développement psychologique de l'enfant,University of Geneva,/learn/enfant-developpement,4.9,Beginner,1 - 3 Months,636,
499,"Statistical Thinking for Industrial Problem Solving, presented by JMP",SAS,/learn/statistical-thinking-applied-statistics,4.8,Beginner,1 - 3 Months,73,"Exploratory Data Analysis, General Statistics, Probability & Statistics, Statistical Analysis, Data Analysis, Experiment"
500,Social Impact Strategy: Tools for Entrepreneurs and Innovators,University of Pennsylvania,/learn/social-impact,4.8,Beginner,1 - 4 Weeks,1300,"Entrepreneurship, Innovation, Leadership and Management, Organizational Development, Strategy, Strategy and Operations, Business Design, Business Intelligence, Business Process Management, Entrepreneurial Finance"
501,Cultural Competence - Aboriginal Sydney,The University of Sydney,/learn/cultural-competence-aboriginal-sydney,4.7,Beginner,1 - 3 Months,263,"Critical Thinking, Culture, Human Learning"
502,21st Century Energy Transition: how do we make it work?,University of Alberta,/learn/21st-century-energy-transition,4.8,Beginner,1 - 3 Months,62,
503,"FinTech: Foundations, Payments, and Regulations",University of Pennsylvania,/learn/wharton-fintech-overview-payments-regulations,4.6,Beginner,1 - 4 Weeks,2300,"FinTech, Finance, Behavioral Economics, BlockChain, Financial Analysis, Financial Management, Market Research, Payments, Risk Management, Regulations and Compliance"
504,"Sleep: Neurobiology, Medicine, and Society",University of Michigan,/learn/sleep,4.8,Beginner,1 - 3 Months,712,
505,Chemicals and Health,Johns Hopkins University,/learn/chemicals-health,4.7,Beginner,1 - 3 Months,1200,
506,Relationship Management and Business Development,Starweaver,/learn/relationship-management-and-business-development,4.5,Intermediate,1 - 4 Weeks,17,"Business Development, Leadership and Management"
507,Fundamentals of Visualization with Tableau,"University of California, Davis",/learn/data-visualization-tableau,4.5,Beginner,1 - 4 Weeks,6400,"Data Analysis, Data Analysis Software, Data Visualization, Data Visualization Software, Exploratory Data Analysis, Interactive Design, Software Visualization, Tableau Software, Visual Design, Visualization (Computer Graphics), Computer Graphics"
508,"Innovation Through Design: Think, Make, Break, Repeat",The University of Sydney,/learn/innovation-through-design,4.7,Beginner,1 - 3 Months,1800,"Creativity, Critical Thinking, Design and Product, Innovation, Interactive Design, Problem Solving, Product Design, Research and Design, User Experience, User Experience Design"
509,U.S. Taxation of International Transactions,University of Illinois at Urbana-Champaign,/learn/us-international-tax,4.6,Intermediate,1 - 4 Weeks,13,"Finance, Financial Analysis"
510,Fundamentals of Software Architecture for Big Data,University of Colorado Boulder,/learn/software-architecture-for-big-data-fundamentals,3.4,Advanced,1 - 4 Weeks,27,"Big Data, Software Engineering"
511,Design Thinking: Insights to Inspiration,University of Virginia,/learn/uva-darden-design-thinking-insights-to-inspiration,4.4,Beginner,1 - 3 Months,25,"Leadership and Management, Innovation, Strategy and Operations"
512,Introduction to Medical Software,Yale University,/learn/introduction-to-medical-software,4.8,Intermediate,3 - 6 Months,117,"Software Engineering, Software Testing, Entrepreneurship, User Research"
513,Foundations of Data Science: K-Means Clustering in Python,University of London,/learn/data-science-k-means-clustering-python,4.6,Beginner,1 - 3 Months,615,"Data Analysis, Computer Programming, Python Programming, Statistical Analysis, Statistical Programming, Algorithms, Applied Machine Learning, Data Visualization, Machine Learning, Machine Learning Algorithms"
514,Children's Human Rights - An Interdisciplinary Introduction,University of Geneva,/learn/childrens-rights,4.7,Beginner,1 - 3 Months,2000,
515,Initiating and Planning Projects,"University of California, Irvine",/learn/project-planning,4.7,Mixed,1 - 3 Months,22400,"Project Management, Conflict Management, Leadership and Management, Planning"
516,"Leading for Equity, Diversity and Inclusion in Higher Education",University of Michigan,/learn/leading-for-equity-diversity-inclusion,4.7,Intermediate,1 - 3 Months,273,"Leadership and Management, Leadership Development"
517,The Business of Product Management I,Advancing Women in Tech,/learn/the-business-of-product-management-one,4.5,Beginner,1 - 4 Weeks,704,"Leadership and Management, Product Management, Product Strategy, Marketing, Product Marketing, Strategy, Strategy and Operations, Customer Success, Design and Product, Market Analysis"
518,Queering Identities: LGBTQ+ Sexuality and Gender Identity,University of Colorado System,/learn/queeringidentities,4.8,Beginner,1 - 3 Months,654,
519,International Security Management,Erasmus University Rotterdam,/learn/international-security-management,4.7,Beginner,1 - 3 Months,1000,"Leadership and Management, Risk Management"
520,Introducción a Data Science: Programación Estadística con R,Universidad Nacional Autónoma de México,/learn/intro-data-science-programacion-estadistica-r,4.7,Beginner,1 - 3 Months,8000,"R Programming, Statistical Programming, Computer Programming, Data Analysis, Data Visualization, Exploratory Data Analysis, General Statistics, Probability & Statistics, Programming Principles, Computer Graphics"
521,"Internal Displacement, Conflict and Protection",University of London,/learn/internal-displacement-conflict-and-protection,4.9,Beginner,1 - 3 Months,45,Planning
522,Introduction to Self-Driving Cars,University of Toronto,/learn/intro-self-driving-cars,4.7,Advanced,1 - 3 Months,2800,"Python Programming, Software Engineering, Computer Programming Tools, Computer Vision, Critical Thinking, Machine Learning, Mathematics, Problem Solving, Strategy and Operations, Systems Design, Computer Programming"
523,Introduction to English Common Law,University of London,/learn/intro-common-law,4.8,Beginner,1 - 3 Months,1700,
524,Understanding Medical Research: Your Facebook Friend is Wrong,Yale University,/learn/medical-research,4.9,Beginner,1 - 3 Months,1800,General Statistics
525,Building Scalable Java Microservices with Spring Boot and Spring Cloud,Google Cloud,/learn/google-cloud-java-spring,4.3,Intermediate,1 - 4 Weeks,1200,"Cloud Applications, Cloud Computing, Cloud Infrastructure, Cloud Platforms, Google App Engine, Google Cloud Platform, Java Programming, Kubernetes"
526,Digital Transformation,University of Virginia,/learn/bcg-uva-darden-digital-transformation,4.8,Beginner,1 - 4 Weeks,6000,"Business Analysis, Business Transformation, Entrepreneurship, Leadership and Management, Marketing, Sales, Strategy, Strategy and Operations, Innovation"
527,Administração Financeira,Insper,/learn/administracao-financeira,4.8,Beginner,1 - 3 Months,808,"Accounting, Finance, Investment Management, Account Management, General Accounting, Leadership and Management, Mathematics, Financial Accounting, Management Accounting, Strategy and Operations"
528,Finanzas personales,Universidad Nacional Autónoma de México,/learn/finanzas-personales,4.8,Mixed,1 - 3 Months,8100,"Behavioral Economics, Benefits, Finance, Negotiation, Planning, Account Management, Emotional Intelligence, Financial Accounting, Strategy, Strategy and Operations"
529,EDIVET: Do you have what it takes to be a veterinarian?,The University of Edinburgh,/learn/becoming-a-veterinarian,4.8,Mixed,1 - 3 Months,2300,
530,Excel Fundamentals for Data Analysis,Macquarie University,/learn/excel-data-analysis-fundamentals,4.8,Intermediate,1 - 3 Months,3500,"Business Analysis, Spreadsheet Software, Data Analysis, Leadership and Management, Microsoft Excel"
531,Writing and Editing: Word Choice and Word Order,University of Michigan,/learn/writing-editing-words,4.7,Beginner,1 - 4 Weeks,1800,"Writing, Creativity, Resilience"
532,Curanderismo: Traditional Healing Using Plants,University of New Mexico,/learn/curanderismo-plants,4.7,Beginner,1 - 3 Months,210,
533,Word Forms and Simple Present Tense,"University of California, Irvine",/learn/word-forms-simple-present-tense,4.9,Beginner,1 - 4 Weeks,2300,Communication
534,Google SEO Fundamentals,"University of California, Davis",/learn/seo-fundamentals,4.8,Mixed,1 - 4 Weeks,3400,"Digital Marketing, Marketing, Search Engine Optimization, Strategy, User Experience, Brand Management, Social Media, Web Development, Decision Making, Web Design, Audit"
535,Introduction to Relational Databases (RDBMS),IBM,/learn/introduction-to-relational-databases,4.7,Beginner,1 - 4 Weeks,441,"Data Management, Database Administration, Database Application, Database Design, Databases, SQL, Data Architecture, Data Structures, Data Model, Database Theory, PostgreSQL"
536,1.基礎知識：サイバーセキュリティとは,Google,/learn/foundations-of-cybersecurity-jp,4.8,Beginner,1 - 4 Weeks,19,
537,What is the Metaverse?,Meta,/learn/what-is-the-metaverse,4.6,Beginner,1 - 3 Months,726,"Virtual Reality, BlockChain, Human Computer Interaction, Innovation, Internet Of Things, Business Transformation, Finance, Market Research, Marketing, Organizational Development"
538,Advanced React,Meta,/learn/advanced-react,4.7,Intermediate,1 - 4 Weeks,744,"Web Development, Front-End Web Development, Javascript, React (web framework), Web Design"
539,"Build, Train, and Deploy ML Pipelines using BERT",DeepLearning.AI,/learn/ml-pipelines-bert,4.5,Advanced,1 - 4 Weeks,148,Amazon Web Services
540,Liabilities and Equity in Accounting,Intuit,/learn/liabilities-equity-in-accounting,4.2,Beginner,1 - 4 Weeks,481,"Accounting, Financial Accounting, General Accounting, Finance, Financial Management, Taxes"
541,Formula preguntas para tomar decisiones basadas en datos,Google,/learn/formula-preguntas-para-tomar-decisiones-basadas-en-datos,4.8,Beginner,1 - 4 Weeks,1200,"Business Analysis, Communication, Data Analysis, Data Management, Problem Solving, Strategy, Strategy and Operations, Data Visualization, Exploratory Data Analysis, Process Analysis, Microsoft Excel"
542,Schizophrenia,Wesleyan University,/learn/schizophrenia,4.8,Intermediate,1 - 3 Months,2100,
543,Introduction to Comparative Indo-European Linguistics,Universiteit Leiden,/learn/comparative-indo-european-linguistics,4.5,Intermediate,1 - 3 Months,57,
544,Principles of UX/UI Design,Meta,/learn/principles-of-ux-ui-design,4.7,Beginner,1 - 3 Months,497,"User Experience, Front-End Web Development, Human Computer Interaction, Interactive Design, Product Design, Web Design"
545,Strategy and Sustainability,IESE Business School,/learn/strategy-sustainability,4.7,Beginner,1 - 3 Months,468,"Leadership and Management, Strategy, Strategy and Operations, Critical Thinking, Risk Management, Business Analysis, Business Transformation, Decision Making, Regulations and Compliance, Customer Analysis, Planning"
546,Robótica,Universidad Nacional Autónoma de México,/learn/robotica-inicial,4.5,Mixed,1 - 3 Months,1400,
547,The Oral Cavity: Portal to Health and Disease,University of Pennsylvania,/learn/oralcavity,4.9,Intermediate,1 - 3 Months,723,
548,Preparing to Manage Human Resources,University of Minnesota,/learn/managing-human-resources,4.8,Mixed,1 - 4 Weeks,9500,"Communication, Employee Relations, Human Resources, People Management, Strategy and Operations, Human Resources Operations, Leadership and Management, Strategy, Business Psychology, People Development"
549,Architecting Solutions on AWS,Amazon Web Services,/learn/architecting-solutions-on-aws,4.8,Intermediate,1 - 4 Weeks,138,"Amazon Web Services, Cloud Computing, Cloud Storage, Cloud Applications, Cloud Engineering, Cloud Infrastructure, Cloud Management, Cloud Platforms, Database Design, Other Cloud Platforms and Tools, Data Analysis, Software Architecture"
550,Nutrición y obesidad: control de sobrepeso,Universidad Nacional Autónoma de México,/learn/nutricion-obesidad-sobrepeso,4.8,Beginner,1 - 4 Weeks,5300,Planning
551,How to Manage a Remote Team,GitLab,/learn/remote-team-management,4.8,Intermediate,1 - 3 Months,897,"Business Psychology, Entrepreneurship, Leadership and Management, Human Resources, People Development, Collaboration, Communication, Culture, Business Transformation"
552,Renewable Energy and Green Building Entrepreneurship,Duke University,/learn/renewable-energy-entrepreneurship,4.7,Beginner,1 - 3 Months,2600,"Business Development, Critical Thinking, Entrepreneurial Finance, Entrepreneurship, Finance, Innovation, Leadership and Management, Brand Management, Business Design, Decision Making, Planning"
553,Six Sigma Principles,University System of Georgia,/learn/six-sigma-principles,4.7,Beginner,1 - 4 Weeks,7400,"Business Process Management, Entrepreneurship, Leadership and Management, Operations Management, Performance Management, Strategy and Operations, Business Psychology, Collaboration, Communication"
554,Classical Sociological Theory,University of Amsterdam,/learn/classical-sociological-theory,4.9,Mixed,1 - 3 Months,2700,Critical Thinking
555,Aboriginal Worldviews and Education,University of Toronto,/learn/aboriginal-education,4.7,Beginner,1 - 3 Months,431,Critical Thinking
556,Whole genome sequencing of bacterial genomes - tools and applications,Technical University of Denmark (DTU),/learn/wgs-bacteria,4.6,Beginner,1 - 3 Months,1400,Bioinformatics
557,Precision Medicine,University of Geneva,/learn/precision-medicine,4.4,Intermediate,1 - 3 Months,226,
558,Knowledge and Skills for Dementia Care: the SSLD Approach,University of Toronto,/learn/dementia-healthcare,4.6,Beginner,1 - 3 Months,88,
559,Google Cybersecurity Action Team: Cybersecurity Essentials,Google,/learn/gcat-cybersecurity-essentials,4.6,Beginner,1 - 3 Months,11,
560,The Digital Marketing Revolution,University of Illinois at Urbana-Champaign,/learn/digital-marketing-revolution,4.7,Beginner,1 - 4 Weeks,1500,"Business Transformation, Digital Marketing, Market Research, Marketing, Brand Management, Critical Thinking, Innovation, Marketing Design, Social Media, Strategy"
561,EU policy and implementation: making Europe work!,Universiteit Leiden,/learn/eu-making-europe-work,4.4,Intermediate,1 - 3 Months,169,
562,Compensation and Benefits,HRCI,/learn/compensation-and-benefits,4.9,Beginner,1 - 4 Weeks,34,Compensation
563,A Bridge to the World: Korean Language for Intermediate1,Sungkyunkwan University,/learn/korean-language-intermediate,4.9,Intermediate,1 - 3 Months,339,Culture
564,Kotlin for Java Developers,JetBrains,/learn/kotlin-for-java-developers,4.7,Intermediate,1 - 3 Months,2000,"Computer Programming, Programming Principles, Algorithms, Data Structures, Problem Solving, Computational Logic, Mathematics, Software Engineering"
565,Agile Meets Design Thinking,University of Virginia,/learn/uva-darden-getting-started-agile,4.7,Beginner,1 - 4 Weeks,3400,"Agile Software Development, Software Engineering, Leadership and Management, User Experience"
566,Programming in Python,Meta,/learn/programming-in-python,4.6,Beginner,1 - 3 Months,1000,"Python Programming, Programming Principles, Big Data, Software Testing, Algorithms, Computer Programming, Django (Web Framework), Tensorflow"
567,Design Thinking for the Greater Good: Innovation in the Social Sector,University of Virginia,/learn/uva-darden-design-thinking-social-sector,4.7,Beginner,1 - 4 Weeks,397,"Innovation, Problem Solving, People Analysis, Research and Design, Adaptability, Critical Thinking, Emotional Intelligence, Strategy"
568,Machine Learning Introduction for Everyone,IBM,/learn/machine-learning-introduction-for-everyone,4.5,Beginner,1 - 4 Weeks,178,"Data Analysis, Deep Learning, Human Learning, Machine Learning, Machine Learning Algorithms, Reinforcement Learning"
569,Introduction to Scrum Master Profession,SkillUp EdTech,/learn/introduction-to-scrum-master-profession,4.7,Beginner,1 - 4 Weeks,53,"Project Management, Scrum (Software Development)"
570,A Blueprint for Success – Your Video Pre-Production,University of Colorado Boulder,/learn/a-blueprint-for-success-your-video-pre-production,4.6,Beginner,1 - 4 Weeks,16,Leadership and Management
571,Getting Started With Music Theory,Michigan State University,/learn/music-theory,4.5,Beginner,1 - 4 Weeks,720,
572,English Composition I,Duke University,/learn/english-composition,4.6,Beginner,1 - 3 Months,1100,Writing
573,Probability Theory: Foundation for Data Science,University of Colorado Boulder,/learn/probability-theory-foundation-for-data-science,4.5,Intermediate,1 - 3 Months,136,"Probability & Statistics, General Statistics, Probability Distribution, Correlation And Dependence, Mathematics"
574,Foundations of Teaching for Learning: Curriculum,Commonwealth Education Trust,/learn/teacher-curriculum,4.6,Mixed,1 - 3 Months,370,Planning
575,Introduction to Computers and Office Productivity Software,The Hong Kong University of Science and Technology,/learn/introduction-to-computers-and-office-productivity-software,4.7,Mixed,1 - 3 Months,1500,"Computer Graphics, Computer Programming, Graphics Software, Computer Programming Tools, Microsoft Excel, System Software, Data Analysis Software, Software As A Service, Spreadsheet Software, Computer Graphic Techniques"
576,Social Work Practice: Advocating Social Justice and Change,University of Michigan,/learn/social-work-practice-advocating-social-justice-and-change,4.8,Beginner,1 - 4 Weeks,345,Communication
577,Build Better Generative Adversarial Networks (GANs),DeepLearning.AI,/learn/build-better-generative-adversarial-networks-gans,4.7,Intermediate,1 - 4 Weeks,610,"Deep Learning, Machine Learning, Artificial Neural Networks, Machine Learning Algorithms, Python Programming, Computer Programming, General Statistics, Probability & Statistics, Problem Solving, Statistical Programming"
578,Grammar and Punctuation,"University of California, Irvine",/learn/grammar-punctuation,4.7,Mixed,1 - 4 Weeks,18900,
579,Advertising with Meta,Meta,/learn/advertising-with-facebook,4.8,Beginner,1 - 3 Months,2200,"Advertising, Digital Marketing, Marketing, Media Strategy & Planning, Social Media, Marketing Management"
580,Medical Billing and Coding Essentials,MedCerts,/learn/medical-billing-coding-essentials,4.7,Beginner,1 - 4 Weeks,74,
581,AI for Medical Prognosis,DeepLearning.AI,/learn/ai-for-medical-prognosis,4.7,Intermediate,1 - 4 Weeks,747,"Machine Learning, Machine Learning Algorithms, Probability & Statistics, Deep Learning"
582,Modern Art & Ideas,The Museum of Modern Art,/learn/modern-art-ideas,4.8,Beginner,1 - 3 Months,6200,"Creativity, Critical Thinking"
583,GenAI for Everyone,Fractal Analytics,/learn/genai-for-everyone,4.2,Beginner,1 - 4 Weeks,71,"Critical Thinking, Problem Solving"
584,Problem Solving with Excel,PwC,/learn/excel-analysis,4.7,Beginner,1 - 4 Weeks,5200,"Data Analysis, Microsoft Excel, Business Analysis, Data Management, Problem Solving, Spreadsheet Software, Statistical Analysis, Data Analysis Software, Extract, Transform, Load, General Statistics, Forecasting"
585,Medical Terminology and the Human Body Fundamentals,MedCerts,/learn/medical-terminology-human-body-fundamentals,4.8,Beginner,1 - 4 Weeks,23,
586,Positive Psychology,The University of North Carolina at Chapel Hill,/learn/positive-psychology,4.7,Mixed,1 - 3 Months,5800,
587,Supervised Machine Learning: Regression,IBM,/learn/supervised-machine-learning-regression,4.7,Intermediate,1 - 3 Months,451,"Machine Learning, Probability & Statistics, Regression, Statistical Machine Learning, Machine Learning Algorithms, Data Analysis, Human Learning, Statistical Tests, Algorithms, General Statistics"
588,Build a Modern Computer from First Principles: Nand to Tetris Part II (project-centered course),Hebrew University of Jerusalem,/learn/nand2tetris2,4.9,Mixed,1 - 3 Months,490,"Computer Programming, Computer Architecture"
589,English for Common Interactions in the Workplace: Basic Level,Pontificia Universidad Católica de Chile,/learn/english-common-interactions-workplace-basic-level,4.7,Mixed,1 - 3 Months,1300,
590,Introduction to Networking and Cloud Computing,Microsoft,/learn/introduction-to-networking-and-cloud-computing,4.8,Beginner,1 - 3 Months,94,"Cloud Computing, Microsoft Azure, Network Security"
591,Design-Led Strategy: Design thinking for business strategy and entrepreneurship,The University of Sydney,/learn/design-strategy,4.6,Intermediate,1 - 3 Months,992,"Problem Solving, Research and Design, Strategy, Communication, Strategy and Operations, Critical Thinking, Design and Product, Entrepreneurship, Leadership and Management, User Experience Design"
592,Investment Management in an Evolving and Volatile World by HEC Paris and AXA Investment Managers,HEC Paris,/learn/investment-management,4.6,Intermediate,1 - 4 Weeks,730,"Finance, Investment Management, Leadership and Management, Financial Analysis, Financial Management, Mathematics, Risk Management, Statistical Analysis, Market Analysis, Probability & Statistics"
593,"Creativity, Innovation and Transformation",The Pennsylvania State University,/learn/creativity-innovation,4.5,Mixed,1 - 4 Weeks,638,"Creativity, Critical Thinking, Leadership and Management"
594,Mathematical Thinking in Computer Science,University of California San Diego,/learn/what-is-a-proof,4.4,Beginner,1 - 3 Months,2200,"Mathematics, Problem Solving, Mathematical Theory & Analysis, Critical Thinking, Computational Thinking, Algorithms, Computational Logic, Strategy, Creativity, Experiment"
595,Introduction to Biology: Ecology,Rice University,/learn/introduction-to-biology-ecology,4.8,Beginner,1 - 3 Months,44,
596,Introduction to International Criminal Law,Case Western Reserve University,/learn/international-criminal-law,4.8,Mixed,1 - 3 Months,3600,
597,Gender and Sexuality: Diversity and Inclusion in the Workplace,University of Pittsburgh,/learn/gender-sexuality,4.7,Beginner,1 - 4 Weeks,951,Training
598,Refugees in the 21st Century,University of London,/learn/refugees-21st-century,4.8,Beginner,1 - 3 Months,498,
599,Foundations of Teaching for Learning: Being a Teacher,Commonwealth Education Trust,/learn/being-a-teacher,4.6,Mixed,1 - 3 Months,847,Professional Development
600,Network Security & Database Vulnerabilities,IBM,/learn/network-security-database-vulnerabilities,4.7,Beginner,1 - 3 Months,3000,"Network Security, Networking Hardware, Databases, SQL"
601,إدارة المشتريات والعقود,Alfaisal University | KLD,/learn/procurement-and-contracts-management,4.4,Beginner,1 - 4 Weeks,41,"Leadership and Management, Procurement, Contract Management, Product Management, Performance Management, Supplier Relationship Management, Business Process Management, Decision Making, Operations Management, Vendor Management"
602,Google Advanced Data Analytics Capstone,Google,/learn/google-advanced-data-analytics-capstone,4.9,Advanced,1 - 4 Weeks,273,"Computer Programming, Data Analysis, Machine Learning, Python Programming"
603,Conflict Transformation,Emory University,/learn/conflict-transformation,4.8,Beginner,1 - 3 Months,399,
604,Revisão Sistemática e Meta-análise,Universidade Estadual de Campinas,/learn/revisao-sistematica,4.9,Intermediate,1 - 3 Months,2700,"Planning, Writing"
605,Math for MBA and GMAT Prep,Emory University,/learn/math-mba-gmat-prep,4.2,Beginner,1 - 3 Months,29,"Data Analysis, Mathematics, Business, General Statistics, Microsoft Excel, Regression, Statistical Analysis"
606,Genetics and Society: A Course for Educators,American Museum of Natural History,/learn/genetics-society,4.7,Mixed,1 - 4 Weeks,148,
607,Smart Cities – Management of Smart Urban Infrastructures,École Polytechnique Fédérale de Lausanne,/learn/smart-cities,4.7,Beginner,1 - 3 Months,1700,"Data Management, Innovation, Leadership and Management, Planning, Data Analysis, Strategy, Big Data, Transportation Operations Management, Internet Of Things"
608,Introduction to Portfolio Construction and Analysis with Python,EDHEC Business School,/learn/introduction-portfolio-construction-python,4.8,Mixed,1 - 4 Weeks,1300,"Computer Programming, Finance, Investment Management, Python Programming, Statistical Programming, Risk Management"
